date,checkins,unique_ind,unique_loc
2021-05-04,22744061,8483078,781133
2021-05-05,24049100,8682917,792487
2021-05-06,23611193,8642911,792592
2021-05-07,23217042,8551907,760373
2021-05-08,25047635,8521542,692328
2021-05-09,23018256,8186473,527528
2021-05-10,21911978,8306025,758285
2021-05-11,23265144,8552943,749167
2021-05-12,22178702,7923638,690075
2021-05-13,10104640,4633809,361683
2021-05-14,13990809,5768748,391904
2021-05-15,17830889,6745474,530423
2021-05-16,16552638,6472395,449730
2021-05-17,19238488,7532172,731164
2021-05-18,18849131,7542128,762915
2021-05-19,19420502,7646418,783531
2021-05-20,19907875,7797155,794429
2021-05-21,20228235,7773728,758447
2021-05-22,18651121,7154725,677938
2021-05-23,16769456,6659891,529869
2021-05-24,19266279,7657783,792841
2021-05-25,18763826,7531634,800822
2021-05-26,15120040,6500935,639227
2021-05-27,11414288,5838257,716596
2021-05-28,7031026,4428873,587564
2021-05-29,5271811,3437237,452364
2021-05-30,2999182,2106959,266148
2021-05-31,13806523,4448733,574661
2021-06-01,12836910,5818512,483638
2021-06-02,14368575,6392792,534516
2021-06-03,15024454,6621910,565587
2021-06-04,15024835,6588921,543353
2021-06-05,15084945,6522677,502880
2021-06-06,13511240,6053780,414035
2021-06-07,13100123,5911343,434394
2021-06-08,17112576,7336194,608980
2021-06-09,16821298,7281910,606797
2021-06-10,16495696,7226658,606017
2021-06-11,16436489,7179736,579486
2021-06-12,15786028,6913902,534178
2021-06-13,14144443,6375628,427657
2021-06-14,16910128,7393790,616368
2021-06-15,17026385,7465586,626671
2021-06-16,17013396,7490105,632616
2021-06-17,16725691,7424414,631177
2021-06-18,16831412,7411024,600329
2021-06-19,16438319,7196306,550854
2021-06-20,14338600,6547034,426747
2021-06-21,17259596,7599068,632717
2021-06-22,17280009,7636028,639709
2021-06-23,17381073,7682156,644963
2021-06-24,17079569,7612496,643911
2021-06-25,17040493,7534778,609906
2021-06-26,16528639,7294517,557715
2021-06-27,14305344,6559382,437792
2021-06-28,17545075,7745713,643293
2021-06-29,17865681,7849601,654252
2021-06-30,18979117,8129506,669990
2021-07-01,18908211,8101091,671387
2021-07-02,20441759,8380952,646740
2021-07-03,16488851,7105297,548689
2021-07-04,14881701,6633487,452691
2021-07-05,17892572,7705699,642683
2021-07-06,18095935,7780087,652396
