date,state,checkins,unique_ind,unique_loc
2020-12-08,Pulau Pinang,1260515,565600,46089
2020-12-08,Sabah,782188,322558,33655
2020-12-08,Sarawak,1257341,488737,37752
2020-12-08,Selangor,4069890,1962738,131822
2020-12-08,Terengganu,222925,123002,14545
2020-12-08,W.P. KualaLumpur,3539330,1586870,91837
2020-12-08,W.P. Labuan,54004,23481,1880
2020-12-08,W.P. Putrajaya,196698,114585,2526
2020-12-09,Johor,1987412,871995,85042
2020-12-09,Kedah,687783,359440,34494
2020-12-09,Kelantan,219745,123894,17587
2020-12-09,Melaka,547770,247009,21989
2020-12-09,Negeri Sembilan,572301,280271,23514
2020-12-09,Pahang,664780,294904,28220
2020-12-09,Perak,1128435,509178,51082
2020-12-09,Perlis,163946,103874,8504
2020-12-09,Pulau Pinang,1286818,570675,46379
2020-12-09,Sabah,799183,325907,34111
2020-12-09,Sarawak,1287249,491454,38202
2020-12-09,Selangor,4055363,1946983,132201
2020-12-09,Terengganu,232437,126661,14901
2020-12-09,W.P. KualaLumpur,3497276,1562616,91911
2020-12-09,W.P. Labuan,53798,23590,1863
2020-12-09,W.P. Putrajaya,192952,112374,2536
2020-12-10,Johor,1912930,860874,84061
2020-12-10,Kedah,687416,359102,34613
2020-12-10,Kelantan,228916,129022,17700
2020-12-10,Melaka,530931,244566,22010
2020-12-10,Negeri Sembilan,564855,283650,23418
2020-12-10,Pahang,656881,299468,28302
2020-12-10,Perak,1079452,507203,50277
2020-12-10,Perlis,169241,107337,8450
2020-12-10,Pulau Pinang,1259514,567613,46543
2020-12-10,Sabah,763214,318514,33819
2020-12-10,Sarawak,1231304,483753,37990
2020-12-10,Selangor,4033037,1955389,132086
2020-12-10,Terengganu,238569,131004,14810
2020-12-10,W.P. KualaLumpur,3454783,1567658,91668
2020-12-10,W.P. Labuan,52345,23023,1804
2020-12-10,W.P. Putrajaya,194437,112468,2531
2020-12-11,Johor,2077343,907446,80729
2020-12-11,Kedah,662919,349353,25233
2020-12-11,Kelantan,188954,113302,9877
2020-12-11,Melaka,642532,284279,22202
2020-12-11,Negeri Sembilan,671519,328666,23682
2020-12-11,Pahang,799853,349964,28471
2020-12-11,Perak,1248393,572833,50991
2020-12-11,Perlis,187102,115863,8098
2020-12-11,Pulau Pinang,1370275,600295,46113
2020-12-11,Sabah,806060,332353,33986
2020-12-11,Sarawak,1303164,499425,38067
2020-12-11,Selangor,3914112,1853873,94433
2020-12-11,Terengganu,191003,112919,7915
2020-12-11,W.P. KualaLumpur,4043566,1692108,87781
2020-12-11,W.P. Labuan,54630,23870,1827
2020-12-11,W.P. Putrajaya,248189,132826,2459
2020-12-12,Johor,2130241,898339,75079
2020-12-12,Kedah,706175,372970,30107
2020-12-12,Kelantan,246501,134775,15484
2020-12-12,Melaka,693162,298124,19892
2020-12-12,Negeri Sembilan,643634,314725,20908
2020-12-12,Pahang,783478,340437,24927
2020-12-12,Perak,1268543,570239,46260
2020-12-12,Perlis,182117,110064,7107
2020-12-12,Pulau Pinang,1409137,585088,39730
2020-12-12,Sabah,820302,323712,29995
2020-12-12,Sarawak,1536041,527307,33410
2020-12-12,Selangor,4289209,1961924,108648
2020-12-12,Terengganu,238710,130615,12269
2020-12-12,W.P. KualaLumpur,3761950,1572635,74591
2020-12-12,W.P. Labuan,53435,22906,1546
2020-12-12,W.P. Putrajaya,207512,113136,1714
2020-12-13,Johor,2248581,926770,63602
2020-12-13,Kedah,785808,404255,31246
2020-12-13,Kelantan,243555,137111,17533
2020-12-13,Melaka,625590,277245,14431
2020-12-13,Negeri Sembilan,624166,309842,15472
2020-12-13,Pahang,691628,316228,18006
2020-12-13,Perak,1199392,553346,32459
2020-12-13,Perlis,159394,96678,4775
2020-12-13,Pulau Pinang,1319162,553481,27727
