date,state,district,partial_foreigner,full_foreigner,booster_foreigner,partial_malaysian,full_malaysian,booster_malaysian,partial_missing,full_missing,booster_missing
2021-02-24,Johor,Batu Pahat,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Johor Bahru,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Kluang,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Kota Tinggi,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Kulai,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Mersing,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Muar,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Pontian,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Segamat,0,0,0,0,0,0,0,0,0
2021-02-24,Johor,Tangkak,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Baling,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Bandar Baharu,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Kota Setar,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Kuala Muda,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Kubang Pasu,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Kulim,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Langkawi,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Padang Terap,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Pendang,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Pokok Sena,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Sik,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,Yan,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Bachok,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Gua Musang,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Jeli,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Kecil Lojing,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Kota Bharu,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Kuala Krai,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Machang,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Pasir Mas,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Pasir Puteh,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Tanah Merah,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,Tumpat,0,0,0,0,0,0,0,0,0
2021-02-24,Melaka,Alor Gajah,0,0,0,0,0,0,0,0,0
2021-02-24,Melaka,Jasin,0,0,0,0,0,0,0,0,0
2021-02-24,Melaka,Melaka Tengah,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,Jelebu,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,Jempol,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,Kuala Pilah,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,Port Dickson,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,Rembau,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,Seremban,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,Tampin,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Bentong,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Bera,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Cameron Highlands,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Jerantut,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Kuantan,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Lipis,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Maran,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Pekan,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Raub,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Rompin,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,Temerloh,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Bagan Datuk,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Batang Padang,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Hilir Perak,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Hulu Perak,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Kampar,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Kerian,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Kinta,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Kuala Kangsar,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Larut Dan Matang,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Manjung,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Muallim,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,Perak Tengah,0,0,0,0,0,0,0,0,0
2021-02-24,Perlis,Perlis,0,0,0,0,0,0,0,0,0
