date,state,daily_partial,daily_full,daily_booster,daily,daily_partial_adol,daily_full_adol,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul_booster,cumul,cumul_partial_adol,cumul_full_adol,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,pfizer3,sinovac1,sinovac2,sinovac3,astra1,astra2,astra3,sinopharm1,sinopharm2,sinopharm3,cansino,cansino3,pending1,pending2,pending3
2022-04-27,Johor,1063,5112,600,6775,47,282,974,4784,3314952,3189150,2117471,8615657,357492,345521,206434,114667,1039,5090,491,23,21,30,1,1,78,0,0,0,0,1,0,0,0
2022-04-27,Kedah,470,620,310,1400,25,45,372,504,1675983,1618030,737805,4021824,214854,207546,71284,33675,462,608,292,8,12,10,0,0,8,0,0,0,0,0,0,0,0
2022-04-27,Kelantan,390,322,273,985,15,26,360,281,1242126,1201273,328145,2763219,185520,179048,35316,15837,389,314,207,1,1,1,0,1,65,0,0,0,4,0,0,2,0
2022-04-27,Melaka,371,650,121,1142,21,15,342,621,782531,754319,540991,2074708,89899,86880,53320,32260,367,645,108,4,3,5,0,0,8,0,0,0,2,0,0,0,0
2022-04-27,Negeri Sembilan,441,1599,194,2234,11,70,404,1514,1021131,986468,655661,2661282,114819,112749,56490,30067,439,1585,187,2,14,5,0,0,2,0,0,0,0,0,0,0,0
2022-04-27,Pahang,467,630,242,1339,22,33,436,593,1265509,1217549,622174,3095325,154453,149561,64698,33243,462,625,223,5,4,16,0,1,3,0,0,0,0,0,0,0,0
2022-04-27,Perak,932,798,388,2118,63,36,847,736,2003590,1932315,1154656,5076409,221863,213170,104423,60151,921,783,372,11,15,5,0,0,0,0,0,0,0,11,0,0,0
2022-04-27,Perlis,62,280,35,377,2,14,59,261,215494,209758,78644,503242,25097,24578,7886,4147,59,280,33,3,0,2,0,0,0,0,0,0,0,0,0,0,0
2022-04-27,Pulau Pinang,166,1251,267,1684,15,37,132,1191,1623434,1586759,1073241,4278917,141024,137205,75309,52472,154,1230,230,12,20,28,0,1,9,0,0,0,0,0,0,0,0
2022-04-27,Sabah,912,1710,399,3021,25,88,853,1596,2584955,2457823,913944,5823726,335625,319130,114478,46832,897,1686,361,15,14,21,0,1,14,0,0,0,9,3,0,0,0
2022-04-27,Sarawak,1024,6252,172,7448,25,215,985,6008,2433629,2286853,1567283,6286646,279500,269819,232442,137030,968,6199,145,56,53,26,0,0,0,0,0,0,0,1,0,0,0
2022-04-27,Selangor,938,2922,892,4752,83,181,769,2592,5179839,4967495,4035933,14170195,541581,520824,288192,144187,836,2825,765,102,94,78,0,2,49,0,1,0,0,0,0,0,0
2022-04-27,Terengganu,486,234,163,883,31,10,448,218,926429,898664,350259,2170012,132793,129512,28670,13484,482,229,146,4,5,5,0,0,12,0,0,0,0,0,0,0,0
2022-04-27,W.P. Kuala Lumpur,325,1236,289,1850,36,84,262,1079,3229103,3109905,1719518,8056357,176166,171815,154068,66955,306,1169,241,19,37,22,0,1,21,0,1,0,28,5,0,0,0
2022-04-27,W.P. Labuan,38,111,22,171,1,7,37,104,88694,82361,49627,220680,10045,9716,5384,2166,36,111,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-27,W.P. Putrajaya,117,511,11,639,2,6,115,503,162817,153088,82691,398527,16471,15952,11488,4893,117,511,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,Johor,1508,4319,841,6668,105,270,1348,3996,3316461,3193469,2118312,8622325,357597,345791,207782,118663,1480,4278,725,25,40,23,3,0,92,0,0,1,1,0,0,0,0
2022-04-28,Kedah,558,816,225,1599,27,39,513,773,1676541,1618846,738030,4023423,214881,207585,71797,34448,550,800,212,8,16,8,0,0,5,0,0,0,0,0,0,0,0
2022-04-28,Kelantan,298,601,165,1064,15,36,278,560,1242425,1201874,328310,2764283,185535,179084,35594,16397,292,599,148,6,1,0,0,0,17,0,0,0,1,0,0,0,0
2022-04-28,Melaka,490,651,109,1250,36,34,450,610,783021,754970,541100,2075958,89935,86914,53770,32870,483,642,99,7,9,2,0,0,8,0,0,0,0,0,0,0,0
2022-04-28,Negeri Sembilan,290,1125,98,1513,17,42,266,1070,1021421,987593,655759,2662795,114836,112791,56756,31137,282,1117,94,8,6,4,0,1,0,0,1,0,0,0,0,0,0
2022-04-28,Pahang,329,725,198,1252,12,46,312,671,1265838,1218274,622372,3096577,154465,149607,65010,33914,324,723,185,5,2,13,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,Perak,943,949,351,2243,41,37,865,890,2004533,1933264,1155007,5078652,221904,213207,105288,61041,928,941,339,15,8,8,0,0,0,0,0,0,0,4,0,0,0
2022-04-28,Perlis,27,149,16,192,1,9,26,137,215521,209907,78660,503434,25098,24587,7912,4284,26,147,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,Pulau Pinang,181,1097,222,1500,24,37,136,1033,1623615,1587856,1073463,4280417,141048,137242,75445,53505,166,1080,201,15,17,8,0,0,13,0,0,0,0,0,0,0,0
2022-04-28,Sabah,949,1837,422,3208,38,109,887,1706,2585913,2459660,914366,5826934,335663,319239,115365,48538,944,1822,407,5,6,10,0,0,5,0,0,0,9,0,0,0,0
2022-04-28,Sarawak,1110,4372,293,5775,20,109,1078,4204,2434739,2291225,1567576,6292421,279520,269928,233520,141234,1065,4310,275,45,62,14,0,0,0,0,0,0,0,4,0,0,0
2022-04-28,Selangor,906,3011,927,4844,81,216,737,2644,5180745,4970506,4036860,14175039,541662,521040,288929,146831,831,2895,803,74,116,75,0,0,49,1,0,0,0,0,0,0,0
2022-04-28,Terengganu,278,104,157,539,11,9,265,92,926707,898768,350416,2170551,132804,129521,28935,13576,278,92,151,0,12,2,0,0,4,0,0,0,0,0,0,0,0
2022-04-28,W.P. Kuala Lumpur,289,1240,246,1775,15,38,235,1160,3229392,3111145,1719764,8058132,176181,171853,154303,68115,265,1196,200,13,41,14,11,2,32,0,1,0,0,0,0,0,0
2022-04-28,W.P. Labuan,25,71,27,123,1,3,24,68,88719,82432,49654,220803,10046,9719,5408,2234,25,71,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,W.P. Putrajaya,113,486,23,622,2,8,111,478,162930,153574,82714,399149,16473,15960,11599,5371,113,486,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,Johor,1318,4433,435,6186,62,170,1211,4199,3317779,3197902,2118747,8628511,357659,345961,208993,122862,1288,4372,367,27,60,14,3,1,54,0,0,0,0,0,0,0,0
2022-04-29,Kedah,251,512,96,859,15,12,232,495,1676792,1619358,738126,4024282,214896,207597,72029,34943,241,483,90,10,29,6,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,Kelantan,63,52,24,139,3,3,58,49,1242488,1201926,328334,2764422,185538,179087,35652,16446,63,50,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,Melaka,392,557,183,1132,9,24,378,526,783413,755527,541283,2077090,89944,86938,54148,33396,378,538,152,14,19,23,0,0,8,0,0,0,0,0,0,0,0
2022-04-29,Negeri Sembilan,467,1019,136,1622,24,42,439,963,1021888,988612,655895,2664417,114860,112833,57195,32100,441,985,130,26,34,4,0,0,2,0,0,0,0,0,0,0,0
2022-04-29,Pahang,410,898,162,1470,17,32,376,852,1266248,1219172,622534,3098047,154482,149639,65386,34766,401,894,142,6,3,5,3,1,15,0,0,0,0,0,0,0,0
2022-04-29,Perak,719,1326,235,2280,35,70,670,1237,2005255,1934590,1155242,5080932,221939,213277,105958,62278,711,1308,223,8,15,12,0,0,0,0,0,0,3,0,0,0,0
2022-04-29,Perlis,30,105,28,163,1,9,28,92,215551,210012,78688,503597,25099,24596,7940,4376,27,105,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,Pulau Pinang,301,1108,200,1609,16,29,253,1045,1623916,1588964,1073663,4282026,141064,137271,75698,54550,274,1046,193,26,62,6,1,0,1,0,0,0,0,0,0,0,0
2022-04-29,Sabah,849,1911,310,3070,39,97,795,1802,2586765,2461571,914676,5830004,335702,319336,116160,50340,826,1892,300,23,16,10,0,0,0,0,0,0,3,0,0,0,0
2022-04-29,Sarawak,2090,3294,392,5776,66,177,1907,3086,2436829,2294519,1567968,6298197,279586,270105,235427,144320,1913,3095,362,177,199,29,0,0,0,0,0,0,0,1,0,0,0
2022-04-29,Selangor,2845,8131,617,11593,137,321,2626,7728,5183590,4978637,4037477,14186632,541799,521361,291555,154559,2757,7976,525,88,153,64,0,1,28,0,1,0,0,0,0,0,0
2022-04-29,Terengganu,198,154,31,383,10,10,187,144,926905,898922,350447,2170934,132814,129531,29122,13720,198,153,29,0,1,0,0,0,2,0,0,0,0,0,0,0,0
