date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2022-01-12,W.P. Putrajaya,34,5,23,440,0,9,1,20,4,5,3,24,2,1,4,3,9,5,8,2,1,1,0
2022-01-13,Johor,456,12,111,6559,56,117,1,310,28,91,33,284,48,28,63,33,114,73,44,53,32,14,2
2022-01-13,Kedah,185,8,229,1506,14,39,1,127,18,32,11,123,18,11,21,11,46,34,25,18,13,4,1
2022-01-13,Kelantan,279,2,390,2574,0,62,1,196,20,46,22,174,37,17,29,22,77,44,27,26,24,8,5
2022-01-13,Melaka,245,7,124,1338,21,70,1,135,39,57,23,150,14,19,38,23,48,55,23,24,12,1,1
2022-01-13,Negeri Sembilan,158,28,166,1535,8,30,0,111,17,23,10,113,12,12,11,10,39,32,18,24,8,1,3
2022-01-13,Pahang,253,6,138,2369,14,64,0,172,17,59,11,159,24,17,42,11,71,47,29,12,14,9,1
2022-01-13,Perak,153,12,164,1551,0,20,2,109,22,8,8,101,35,2,6,8,24,40,19,18,20,12,3
2022-01-13,Perlis,8,1,6,233,0,3,0,5,0,0,0,8,0,0,0,0,3,2,1,2,0,0,0
2022-01-13,Pulau Pinang,164,8,218,1586,5,34,1,108,21,27,13,101,23,11,16,13,33,29,30,9,16,4,3
2022-01-13,Sabah,257,2,135,4971,3,61,0,169,27,41,17,170,29,12,29,17,66,61,21,22,13,13,3
2022-01-13,Sarawak,18,0,19,166,0,1,0,6,11,0,0,14,4,0,0,0,4,5,2,3,2,2,0
2022-01-13,Selangor,1083,100,954,10534,11,217,9,737,120,158,51,757,98,59,99,51,262,261,142,92,70,20,8
2022-01-13,Terengganu,75,4,367,1228,0,13,0,56,6,9,3,52,11,7,2,3,18,18,10,6,7,3,1
2022-01-13,W.P. Kuala Lumpur,309,123,236,3581,18,60,0,205,44,37,7,247,17,10,27,7,83,94,46,24,11,4,2
2022-01-13,W.P. Labuan,18,2,13,104,0,7,0,9,2,5,1,12,0,2,3,1,3,5,3,1,0,0,0
2022-01-13,W.P. Putrajaya,23,6,22,441,0,5,0,16,2,5,1,17,0,2,3,1,2,12,2,1,0,0,0
2022-01-14,Johor,380,8,0,6938,19,113,0,236,31,76,28,246,30,26,50,28,87,64,57,38,22,7,1
2022-01-14,Kedah,178,7,188,1495,1,51,1,108,18,26,23,112,16,11,15,23,50,30,20,12,10,6,0
2022-01-14,Kelantan,270,3,333,2511,2,61,2,189,18,50,27,163,30,22,28,27,72,41,27,23,20,7,3
2022-01-14,Melaka,166,7,154,1350,18,41,1,98,26,36,6,115,9,11,25,6,39,48,18,10,5,4,0
2022-01-14,Negeri Sembilan,157,8,158,1534,20,36,1,102,18,24,8,110,15,9,15,8,59,24,14,13,11,3,1
2022-01-14,Pahang,204,3,216,2355,3,46,1,142,15,37,20,125,22,17,20,20,50,38,15,22,13,7,2
2022-01-14,Perak,137,7,168,1520,0,34,1,85,17,22,4,81,28,10,12,4,28,28,13,12,15,8,5
2022-01-14,Perlis,15,0,16,232,0,2,0,10,3,1,1,12,1,1,0,1,4,3,3,2,1,0,0
2022-01-14,Pulau Pinang,198,13,211,1571,10,40,4,136,18,16,15,142,25,5,11,15,61,33,22,26,19,3,3
2022-01-14,Sabah,244,1,245,4970,0,49,1,177,17,33,14,165,32,10,23,14,62,48,33,22,27,5,0
2022-01-14,Sarawak,13,0,17,162,0,1,0,4,8,0,0,13,0,0,0,0,5,3,3,2,0,0,0
2022-01-14,Selangor,1006,97,925,10611,80,183,10,702,111,121,52,735,79,53,68,52,324,227,106,78,51,23,5
2022-01-14,Terengganu,56,0,151,1131,0,5,0,46,5,3,1,39,13,3,0,1,9,10,12,8,9,4,0
2022-01-14,W.P. Kuala Lumpur,280,112,227,3634,5,73,1,160,46,22,6,217,35,7,15,6,92,60,46,19,24,6,5
2022-01-14,W.P. Labuan,8,0,18,94,0,2,0,6,0,2,0,6,0,0,2,0,1,2,2,1,0,0,0
2022-01-14,W.P. Putrajaya,34,1,25,450,0,12,0,20,2,9,4,20,1,1,8,4,7,7,5,1,1,0,0
2022-01-15,Johor,419,8,244,7111,30,99,2,280,38,71,30,267,51,25,46,30,96,87,50,34,35,12,4
2022-01-15,Kedah,209,3,197,1507,10,48,1,131,29,31,26,135,14,10,21,26,56,32,27,20,11,1,2
2022-01-15,Kelantan,195,1,281,2425,8,42,0,149,4,29,10,126,29,9,20,10,48,35,16,27,17,11,1
2022-01-15,Melaka,154,10,131,1372,13,34,1,93,26,20,9,119,6,5,15,9,51,32,19,17,6,0,0
2022-01-15,Negeri Sembilan,111,1,101,1544,3,27,0,76,8,24,7,73,7,7,17,7,36,16,14,7,5,2,0
2022-01-15,Pahang,195,3,218,2332,19,48,1,127,19,34,21,124,16,13,21,21,58,28,24,14,11,3,2
