week,state,abs_0_4,abs_5_11,abs_12_17,abs_18_29,abs_30_39,abs_40_49,abs_50_59,abs_60_69,abs_70_79,abs_80_+,perc_0_4,perc_5_11,perc_12_17,perc_18_29,perc_30_39,perc_40_49,perc_50_59,perc_60_69,perc_70_79,perc_80_+,capita_0_4,capita_5_11,capita_12_17,capita_18_29,capita_30_39,capita_40_49,capita_50_59,capita_60_69,capita_70_79,capita_80_+
w0,Selangor,25,28,36,346,341,210,91,48,33,59,2.05,2.3,2.96,28.43,28.02,17.26,7.48,3.94,2.71,4.85,5.06,3.85,6.33,27.08,25.67,23.21,14.47,12.51,18.9,118.95
w24,Terengganu,8,2,0,16,21,9,9,4,14,5,9.09,2.27,0.0,18.18,23.86,10.23,10.23,4.55,15.91,5.68,5.87,1.13,0.0,5.77,11.38,7.54,8.41,5.4,40.94,42.02
w23,Terengganu,4,2,1,13,4,8,7,9,1,7,7.14,3.57,1.79,23.21,7.14,14.29,12.5,16.07,1.79,12.5,2.93,1.13,0.72,4.69,2.17,6.71,6.54,12.15,2.92,58.82
w22,Terengganu,2,3,3,14,13,14,4,1,6,4,3.12,4.69,4.69,21.88,20.31,21.88,6.25,1.56,9.38,6.25,1.47,1.7,2.17,5.05,7.05,11.74,3.74,1.35,17.54,33.61
w21,Terengganu,3,4,1,12,15,4,5,9,1,4,5.17,6.9,1.72,20.69,25.86,6.9,8.62,15.52,1.72,6.9,2.2,2.27,0.72,4.33,8.13,3.35,4.67,12.15,2.92,33.61
w20,Terengganu,2,4,2,9,19,7,4,3,2,1,3.77,7.55,3.77,16.98,35.85,13.21,7.55,5.66,3.77,1.89,1.47,2.27,1.45,3.24,10.3,5.87,3.74,4.05,5.85,8.4
w19,Terengganu,2,1,1,7,6,3,0,1,1,1,8.7,4.35,4.35,30.43,26.09,13.04,0.0,4.35,4.35,4.35,1.47,0.57,0.72,2.52,3.25,2.51,0.0,1.35,2.92,8.4
w18,Terengganu,2,1,2,7,2,3,1,0,1,2,9.52,4.76,9.52,33.33,9.52,14.29,4.76,0.0,4.76,9.52,1.47,0.57,1.45,2.52,1.08,2.51,0.93,0.0,2.92,16.81
w17,Terengganu,4,1,1,1,5,4,2,1,1,3,17.39,4.35,4.35,4.35,21.74,17.39,8.7,4.35,4.35,13.04,2.93,0.57,0.72,0.36,2.71,3.35,1.87,1.35,2.92,25.21
w16,Terengganu,1,0,2,6,4,5,3,0,1,1,4.35,0.0,8.7,26.09,17.39,21.74,13.04,0.0,4.35,4.35,0.73,0.0,1.45,2.16,2.17,4.19,2.8,0.0,2.92,8.4
